Export Channel Data with rate of 32 samples per second.

Client: 999 - Test Test	Channel Set: Test Channel Set.chs
Session Date: 9/3/2010		Session Time: 3:04:05 PM
Start Time: 00:00:00.000		End Time: 00:02:04.063

Time,SC-Pro/Flex - 1B
 ,2048
0.03125000000,3.423
0.06250000000,3.422
0.09375000000,3.420
0.12500000000,3.418
0.15625000000,3.415
0.18750000000,3.412
0.21875000000,3.410
0.25000000000,3.407
0.28125000000,3.405
0.31250000000,3.402
0.34375000000,3.399
0.37500000000,3.397
0.40625000000,3.394
0.43750000000,3.391
0.46875000000,3.388
0.50000000000,3.385
0.53125000000,3.382
0.56250000000,3.380
0.59375000000,3.377
0.62500000000,3.374
0.65625000000,3.372
0.68750000000,3.370
0.71875000000,3.367
0.75000000000,3.365
0.78125000000,3.362
0.81250000000,3.360
0.84375000000,3.358
0.87500000000,3.356
0.90625000000,3.354
0.93750000000,3.352
0.96875000000,3.350
1.00000000000,3.348
1.03125000000,3.346
1.06250000000,3.343
1.09375000000,3.340
1.12500000000,3.337
1.15625000000,3.334
1.18750000000,3.331
1.21875000000,3.328
1.25000000000,3.326
1.28125000000,3.323
1.31250000000,3.321
1.34375000000,3.318
1.37500000000,3.316
1.40625000000,3.313
1.43750000000,3.311
1.46875000000,3.308
1.50000000000,3.306
1.53125000000,3.303
1.56250000000,3.301
1.59375000000,3.299
1.62500000000,3.297
1.65625000000,3.295
1.68750000000,3.293
1.71875000000,3.291
1.75000000000,3.289
1.78125000000,3.287
1.81250000000,3.285
1.84375000000,3.283
1.87500000000,3.282
1.90625000000,3.280
1.93750000000,3.278
1.96875000000,3.277
2.00000000000,3.275
2.03125000000,3.273
2.06250000000,3.271
2.09375000000,3.269
2.12500000000,3.267
2.15625000000,3.265
2.18750000000,3.262
2.21875000000,3.260
2.25000000000,3.259
2.28125000000,3.257
2.31250000000,3.255
2.34375000000,3.254
2.37500000000,3.252
2.40625000000,3.250
2.43750000000,3.249
2.46875000000,3.247
2.50000000000,3.246
2.53125000000,3.245
2.56250000000,3.244
2.59375000000,3.243
2.62500000000,3.243
2.65625000000,3.242
2.68750000000,3.242
2.71875000000,3.241
2.75000000000,3.241
2.78125000000,3.241
2.81250000000,3.241
2.84375000000,3.241
2.87500000000,3.241
2.90625000000,3.242
2.93750000000,3.243
2.96875000000,3.243
3.00000000000,3.244
3.03125000000,3.245
3.06250000000,3.245
3.09375000000,3.246
3.12500000000,3.246
3.15625000000,3.247
3.18750000000,3.248
3.21875000000,3.250
3.25000000000,3.251
3.28125000000,3.253
3.31250000000,3.255
3.34375000000,3.257
3.37500000000,3.259
3.40625000000,3.261
3.43750000000,3.264
3.46875000000,3.267
3.50000000000,3.269
3.53125000000,3.272
3.56250000000,3.276
3.59375000000,3.279
3.62500000000,3.282
3.65625000000,3.286
3.68750000000,3.289
3.71875000000,3.293
3.75000000000,3.296
3.78125000000,3.299
3.81250000000,3.302
3.84375000000,3.306
3.87500000000,3.309
3.90625000000,3.312
3.93750000000,3.315
3.96875000000,3.318
4.00000000000,3.320
4.03125000000,3.322
4.06250000000,3.323
4.09375000000,3.324
4.12500000000,3.325
4.15625000000,3.326
4.18750000000,3.326
4.21875000000,3.327
4.25000000000,3.327
4.28125000000,3.328
4.31250000000,3.328
4.34375000000,3.328
4.37500000000,3.328
4.40625000000,3.328
4.43750000000,3.327
4.46875000000,3.327
4.50000000000,3.326
4.53125000000,3.326
4.56250000000,3.325
4.59375000000,3.325
4.62500000000,3.324
4.65625000000,3.323
4.68750000000,3.322
